country,iso_alpha3,whostandard,natstandard,population,pm_1998,pm_1999,pm_2000,pm_2001,pm_2002,pm_2003,pm_2004,pm_2005,pm_2006,pm_2007,pm_2008,pm_2009,pm_2010,pm_2011,pm_2012,pm_2013,pm_2014,pm_2015,pm_2016,pm_2017,pm_2018,llpp_who_1998,llpp_who_1999,llpp_who_2000,llpp_who_2001,llpp_who_2002,llpp_who_2003,llpp_who_2004,llpp_who_2005,llpp_who_2006,llpp_who_2007,llpp_who_2008,llpp_who_2009,llpp_who_2010,llpp_who_2011,llpp_who_2012,llpp_who_2013,llpp_who_2014,llpp_who_2015,llpp_who_2016,llpp_who_2017,llpp_who_2018,llpp_nat_1998,llpp_nat_1999,llpp_nat_2000,llpp_nat_2001,llpp_nat_2002,llpp_nat_2003,llpp_nat_2004,llpp_nat_2005,llpp_nat_2006,llpp_nat_2007,llpp_nat_2008,llpp_nat_2009,llpp_nat_2010,llpp_nat_2011,llpp_nat_2012,llpp_nat_2013,llpp_nat_2014,llpp_nat_2015,llpp_nat_2016,llpp_nat_2017,llpp_nat_2018
Burkina Faso,BFA,5,0,20304926,7.2800002,7.25,7.4699998,7.0900002,7.1399999,8.1199999,8.5299997,9.0500002,8.3299999,8.6800003,8.2600002,9.2299995,9.9899998,9.1000004,8.5,8.1099997,9,8.4300003,8.0900002,8.4300003,8.5699997,0.22,0.22,0.23999999,0.20999999,0.20999999,0.31,0.34999999,0.40000001,0.33000001,0.36000001,0.31999999,0.41,0.49000001,0.40000001,0.34,0.31,0.38999999,0.34,0.30000001,0.34,0.34999999,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Bangladesh,BGD,5,15,161930514,45.93,46.560001,52.139999,54.529999,53.82,55.59,54.880001,59.919998,64.379997,62.43,65.120003,71.040001,66.330002,70.580002,71.57,65.580002,68.410004,65.410004,68.629997,62.970001,77.120003,4.0100002,4.0700002,4.6199999,4.8499999,4.7800002,4.96,4.8899999,5.3800001,5.8200002,5.6300001,5.8899999,6.4699998,6.0100002,6.4299998,6.52,5.9400001,6.21,5.9200001,6.2399998,5.6799998,7.0700002,3.03,3.0899999,3.6400001,3.8699999,3.8,3.98,3.9100001,4.4000001,4.8400002,4.6500001,4.9099998,5.4899998,5.0300002,5.4499998,5.54,4.96,5.23,4.9400001,5.2600002,4.6999998,6.0900002
Bulgaria,BGR,5,25,7019515,25.4,22.700001,24.15,24.719999,24.879999,26.139999,22.59,24.6,26.84,24.15,22.26,20.379999,18.23,27.809999,22.58,19.950001,19.34,18.65,17.780001,19.18,18.280001,2,1.73,1.88,1.9299999,1.95,2.0699999,1.72,1.92,2.1400001,1.88,1.6900001,1.51,1.3,2.24,1.72,1.46,1.41,1.34,1.25,1.39,1.3,0.15000001,0.029999999,0.14,0.13,0.16,0.23999999,0.050000001,0.15000001,0.31,0.19,0.07,0.02,0,0.41,0.079999998,0.0099999998,0,0,0,0,0
Bahrain,BHR,5,0,1454701,14.03,14.24,17.059999,13.78,14.28,13.84,13.33,14.39,16.75,16.450001,18.049999,20.26,21.43,19.040001,21.059999,18.52,18.99,19.530001,18.51,21.610001,20.219999,0.88,0.91000003,1.1799999,0.86000001,0.91000003,0.87,0.81999999,0.92000002,1.15,1.12,1.28,1.5,1.61,1.38,1.5700001,1.33,1.37,1.42,1.3200001,1.63,1.49,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Bahamas,BHS,5,0,336078,6.2399998,5.04,4.5500002,3.9100001,3.8699999,3.8699999,4.0100002,4.4899998,4.4200001,3.8800001,3.04,3.1400001,3.8099999,3.6099999,3.21,2.6700001,2.8399999,2.51,3.03,3.22,3.04,0.12,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Bosnia and Herzegovina,BIH,5,25,3842951,27.889999,26.65,25.290001,27.549999,28.450001,29.98,27.82,30.049999,29.4,27.059999,25.98,26.790001,27.52,32.099998,28.879999,25.440001,24.24,28.57,27.83,26.67,25.65,2.24,2.1199999,1.99,2.21,2.3,2.45,2.24,2.45,2.3900001,2.1600001,2.0599999,2.1400001,2.21,2.6600001,2.3399999,2,1.89,2.3099999,2.24,2.1199999,2.02,0.43000001,0.34,0.23999999,0.40000001,0.47999999,0.58999997,0.43000001,0.61000001,0.54000002,0.37,0.31,0.36000001,0.44,0.77999997,0.5,0.23,0.2,0.49000001,0.46000001,0.34999999,0.28
Saint-Barthélemy,BLM,5,0,7140,2.3,2.9000001,2.5999999,2.7,2,2.2,2,2.8,2.5,2.2,2.0999999,2.2,3.4000001,2.2,2.7,1.9,1.9,2.0999999,2.3,2.2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Belarus,BLR,5,15,9502143,17.379999,17.92,15.65,15.99,19.110001,15.53,15.87,15.47,15.98,14.36,14.93,16.51,17.4,15.2,14.86,15.55,15.28,13.28,12.69,12.91,13.71,1.21,1.27,1.04,1.08,1.38,1.03,1.0700001,1.03,1.08,0.92000002,0.97000003,1.13,1.22,1,0.97000003,1.03,1.01,0.81,0.75,0.77999997,0.85000002,0.23,0.28999999,0.079999998,0.1,0.40000001,0.07,0.090000004,0.07,0.1,0.02,0.02,0.15000001,0.23999999,0.07,0.039999999,0.07,0.050000001,0.029999999,0.0099999998,0.0099999998,0
Belize,BLZ,5,0,393512,13.69,10.69,10.26,10.61,10.22,13.17,9.3699999,13.59,10.58,10.41,9.2399998,8.9200001,10.61,11.67,8.3299999,10.36,9.0100002,8.8599997,8.1700001,9.0500002,7.96,0.85000002,0.56,0.51999998,0.55000001,0.50999999,0.80000001,0.43000001,0.83999997,0.55000001,0.52999997,0.41999999,0.38,0.55000001,0.64999998,0.33000001,0.52999997,0.38999999,0.38,0.31,0.40000001,0.28999999,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Bermuda,BMU,5,30,71472,4.4299998,3.6700001,4.3699999,3.97,3.73,3.72,3.78,4.0599999,3.4400001,3.97,3.22,2.71,3.01,2.9300001,2.9200001,2.5799999,2.74,2.6300001,2.28,2.28,2.1700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
