,country,2004_life_exp,2005_life_exp,2006_life_exp,2007_life_exp,2008_life_exp,2009_life_exp,2010_life_exp,2011_life_exp,2012_life_exp,2013_life_exp,2014_life_exp,2015_life_exp,2016_life_exp,2017_life_exp,2018_life_exp,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2004_pm,2005_pm,2006_pm,2007_pm,2008_pm,2009_pm,2010_pm,2011_pm,2012_pm,2013_pm,2014_pm,2015_pm,2016_pm,2017_pm,2018_pm,class
55,FIN,78.7146341463415,78.8170731707317,79.2146341463415,79.2634146341464,79.5682926829268,79.719512195122,79.8707317073171,80.4707317073171,80.6268292682927,80.9756097560976,81.1804878048781,81.4804878048781,81.4292682926829,81.6317073170732,81.7341463414634,5228172.0,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,6.3200002,6.25,7.3699999,6.5700002,5.75,6.1599998,6.9699998,5.8000002,5.9200001,5.3200002,6.2199998,4.77,4.6799998,4.0500002,4.9299998,4
56,FJI,66.424,66.632,66.855,66.826,66.935,67.089,67.328,67.523,67.552,67.428,67.376,66.844,67.24,67.79,67.81,866694.0,874923.0,883083.0,890648.0,896731.0,901383.0,905169.0,908355.0,911059.0,913453.0,915560.0,917200.0,918371.0,919019.0,918996.0,1.72,1.76,1.65,1.89,2.6800001,1.86,1.88,2.04,1.76,1.83,1.7,1.89,1.76,2.24,2.04,5
57,FRA,80.1634146341463,80.1634146341463,80.8121951219512,81.1121951219512,81.2146341463415,81.4146341463415,81.6634146341463,82.1146341463415,81.9682926829268,82.219512195122,82.719512195122,82.3219512195122,82.5731707317073,82.5756097560976,82.6756097560976,62716306.0,63188395.0,63628261.0,64021737.0,64379696.0,64710879.0,65030575.0,65345233.0,65662240.0,66002289.0,66312067.0,66548272.0,66724104.0,66918020.0,67158348.0,10.75,11.29,11.05,11.11,11.42,12.81,13.91,13.22,11.53,12.43,9.0600004,9.8299999,9.3299999,8.8299999,8.8000002,3
58,FRO,79.0926829268293,79.290243902439,79.6390243902439,79.9878048780488,80.1365853658537,80.3853658536585,80.6878048780488,80.9390243902439,81.190243902439,81.4414634146341,81.5926829268293,81.7926829268293,82.0926829268293,82.2926829268293,82.5439024390244,47989.0,48291.0,48313.0,48361.0,48411.0,48429.0,48410.0,48386.0,48392.0,48418.0,48465.0,48816.0,49500.0,50230.0,50955.0,2.0,1.76,2.3699999,1.89,2.1900001,2.21,2.03,2.02,1.6,2.24,2.6900001,1.88,1.4,1.88,1.95,4
59,FSM,70.838,70.884,71.093,71.06,71.137,71.112,71.233,71.318,71.398,71.499,71.529,71.408,71.595,71.467,71.318,111438.0,110940.0,110301.0,109532.0,108704.0,107868.0,107588.0,107887.0,108232.0,108609.0,109024.0,109462.0,109925.0,110430.0,110929.0,0.97000003,0.81999999,0.97000003,0.76999998,0.66000003,1.0700001,0.70999998,0.93000001,0.88,0.91000003,1.29,1.42,0.81,0.69999999,0.88,7
60,GAB,61.838,61.959,62.375,62.618,63.083,63.303,63.898,64.045,64.587,64.776,64.974,65.46,65.802,66.189,66.306,1417110.0,1458353.0,1502534.0,1549774.0,1599978.0,1653542.0,1711105.0,1772500.0,1836705.0,1902226.0,1966855.0,2028517.0,2086206.0,2140215.0,2192012.0,21.940001,17.639999,17.33,21.82,24.27,21.360001,22.84,22.83,21.82,24.32,21.48,23.389999,23.75,20.860001,22.4,9
61,GBR,78.7463414634146,79.0487804878049,79.2487804878049,79.4487804878049,79.6,80.0512195121951,80.4024390243902,80.9512195121951,80.9048780487805,81.0048780487805,81.3048780487805,80.9560975609756,81.1560975609756,81.2560975609756,81.2560975609756,59987905.0,60401206.0,60846820.0,61322463.0,61806995.0,62276270.0,62766365.0,63258810.0,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0,9.3100004,9.5799999,9.6300001,9.5600004,9.1199999,9.2799997,10.59,10.52,9.1099997,10.23,9.6899996,8.04,8.6000004,8.25,8.5699997,3
62,GEO,70.567,71.13,71.394,71.568,71.332,71.95,72.128,72.39,72.412,72.628,73.099,73.297,73.569,73.57,73.341,3927340.0,3902469.0,3880347.0,3860158.0,3848449.0,3814419.0,3786695.0,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3726549.0,13.42,14.18,13.85,14.77,13.98,14.7,13.07,15.52,15.36,14.75,15.3,15.09,13.31,15.7,13.18,2
63,GHA,59.191,59.76,59.988,60.224,60.49,60.946,61.157,61.652,62.081,62.42,63.045,63.175,63.89,64.013,64.122,21906444.0,22496951.0,23098586.0,23708320.0,24326087.0,24950762.0,25574719.0,26205941.0,26858762.0,27525597.0,28196358.0,28870939.0,29554303.0,30222262.0,30870641.0,15.16,15.48,14.49,14.8,15.66,14.98,14.88,14.71,12.59,11.93,12.15,12.81,13.45,13.26,13.07,9
64,GIB,80.948,81.442,80.393,78.514,80.13,81.243,80.958,81.871,83.366,80.55,81.882,80.427,81.702,81.83,82.154,28716.0,29155.0,29587.0,29996.0,30398.0,30819.0,31262.0,31701.0,32160.0,32411.0,32452.0,32520.0,32565.0,32602.0,32648.0,9.0,9.3000002,10.0,11.1,9.1000004,8.1999998,7.4000001,9.0,9.0,9.6000004,8.1000004,9.8000002,7.9000001,8.0,8.8999996,3
65,GIN,54.117,54.632,55.108,55.553,56.044,56.348,56.72,57.019,57.406,57.791,57.886,58.134,58.763,59.109,59.349,8961039.0,9140114.0,9330625.0,9547082.0,9779785.0,10021323.0,10270728.0,10527712.0,10788692.0,11055430.0,11333365.0,11625998.0,11930985.0,12240789.0,12554864.0,11.95,11.49,10.95,10.49,11.16,13.24,12.97,11.53,10.61,11.52,11.61,10.49,10.8,10.72,10.41,13
66,GMB,58.088,58.394,59.06,59.394,60.082,60.427,60.717,61.526,62.096,62.114,62.269,62.494,63.013,62.995,63.04,1612225.0,1660368.0,1711294.0,1764883.0,1820542.0,1878119.0,1937275.0,1998212.0,2061014.0,2124869.0,2189019.0,2253133.0,2317206.0,2381182.0,2444916.0,5.4099998,5.8600001,6.3200002,5.8899999,6.1100001,6.77,6.9899998,6.1100001,6.3600001,6.1700001,6.1900001,6.6799998,5.9000001,6.1799998,5.5100002,12
67,GNB,52.15,52.249,53.371,54.155,54.646,55.541,56.23,56.967,57.69,58.232,58.61,59.128,59.674,60.066,60.502,1347009.0,1379713.0,1414091.0,1450572.0,1488431.0,1527196.0,1567220.0,1609017.0,1652717.0,1697753.0,1743309.0,1788919.0,1834552.0,1879826.0,1924955.0,7.73,7.96,8.29,7.6399999,7.7600002,9.3199997,9.0600004,8.0200005,7.8099999,7.9699998,8.3900003,8.0600004,7.4099998,7.5300002,7.1500001,13
68,GNQ,55.036,55.464,56.046,56.54,57.074,57.431,57.878,58.412,58.865,59.224,59.595,60.103,60.479,60.821,61.191,826355.0,864726.0,905418.0,948814.0,994971.0,1043686.0,1094524.0,1144588.0,1193636.0,1243941.0,1295183.0,1346973.0,1398927.0,1450694.0,1502091.0,25.719999,22.370001,21.01,25.24,27.66,25.57,27.549999,26.23,24.49,27.139999,24.0,26.030001,27.6,25.68,26.09,8
69,GRC,79.0390243902439,79.2390243902439,79.4390243902439,79.4390243902439,79.9390243902439,80.1878048780488,80.3878048780488,80.7317073170732,80.6341463414634,81.2853658536585,81.3853658536585,81.0365853658537,81.3878048780488,81.2878048780488,81.7878048780488,10955141.0,10987314.0,11020362.0,11048473.0,11077841.0,11107017.0,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,13.28,14.91,15.78,16.17,14.22,12.95,9.9499998,15.85,14.27,10.75,11.2,12.01,11.29,11.62,10.89,3
70,GRD,71.788,73.521,73.7,74.317,74.656,75.036,74.999,75.295,75.042,75.116,74.985,75.013,74.762,74.765,74.808,109516.0,110254.0,110988.0,111725.0,112478.0,113249.0,114039.0,114918.0,115912.0,116945.0,117972.0,118980.0,119966.0,120921.0,121838.0,2.05,2.22,2.1199999,2.0599999,2.22,2.25,3.21,2.22,2.28,1.88,1.76,2.03,2.2,2.4200001,1.9,7
71,GRL,68.5926829268293,68.4273170731707,68.6665853658537,69.3726829268293,70.0151219512195,70.5319512195122,70.2919512195122,69.8541463414634,70.55,71.5734146341464,71.9856097560976,71.9773170731707,71.8251219512195,71.579756097561,71.8865853658537,56911.0,56935.0,56774.0,56555.0,56328.0,56323.0,56905.0,56890.0,56810.0,56483.0,56295.0,56114.0,56186.0,56171.0,56023.0,1.26,1.02,1.02,1.02,1.33,1.05,1.0599999,1.09,1.1900001,1.0700001,1.26,0.94999999,0.85000002,1.0700001,0.82999998,7
72,GTM,69.165,69.168,69.812,70.1,70.356,70.641,70.878,71.177,71.463,71.728,71.964,72.103,72.355,72.551,72.726,12682108.0,12948292.0,13213330.0,13477017.0,13739299.0,14000190.0,14259687.0,14521515.0,14781942.0,15043981.0,15306316.0,15567419.0,15827690.0,16087418.0,16346950.0,23.040001,29.82,25.950001,27.17,25.950001,27.129999,26.98,28.01,27.23,28.57,26.57,25.790001,27.02,26.91,24.610001,0
73,GUM,76.923,77.182,77.136,77.098,77.185,77.094,76.879,76.872,76.707,76.72,76.749,76.616,76.877,77.155,77.439,164004.0,164430.0,164675.0,164763.0,164725.0,164580.0,164905.0,165649.0,166392.0,167054.0,167543.0,167978.0,168346.0,168606.0,168678.0,1.03,0.99000001,1.08,0.92000002,0.82999998,0.92000002,0.77999997,0.88999999,1.15,1.02,1.3099999,1.5700001,0.76999998,0.92000002,0.72000003,4
74,GUY,64.93,65.132,65.667,66.254,66.288,66.563,66.743,66.982,67.23,67.473,67.882,68.201,68.384,68.667,68.896,760424.0,759709.0,758367.0,756521.0,754150.0,751258.0,747932.0,744230.0,743966.0,747420.0,751115.0,755031.0,759087.0,763252.0,785514.0,6.5900002,7.21,6.4899998,6.2399998,7.4499998,6.6799998,7.6900001,6.3800001,6.4499998,5.8499999,5.46,5.6999998,6.1799998,5.4099998,5.1599998,12
75,HND,69.796,70.104,70.261,70.376,70.441,70.911,71.088,71.439,71.734,71.963,72.259,72.487,72.588,72.692,72.814,7383407.0,7564613.0,7745200.0,7924462.0,8101777.0,8277302.0,8450933.0,8622504.0,8792367.0,8960657.0,9127846.0,9294505.0,9460798.0,9626842.0,9792850.0,19.969999,26.24,22.27,22.290001,24.030001,22.110001,23.15,26.66,21.43,24.940001,22.35,20.68,20.92,21.889999,20.07,0
76,HRV,75.520243902439,75.2446341463415,75.8368292682927,75.7056097560976,75.9121951219512,76.1682926829268,76.4756097560976,76.7756097560976,76.9243902439024,77.1268292682927,77.4780487804878,77.2756097560976,78.0219512195122,77.8268292682927,78.0707317073171,4304600.0,4310145.0,4311159.0,4310217.0,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,19.32,21.450001,21.360001,17.26,16.85,17.51,17.85,21.57,17.889999,17.209999,14.9,17.959999,17.110001,16.82,16.209999,0
77,HTI,58.475,60.415,60.763,61.103,61.332,61.741,46.019,61.623,62.291,62.605,62.987,63.237,63.392,63.854,64.019,8961489.0,9111900.0,9266288.0,9420826.0,9575247.0,9730638.0,9842880.0,9954312.0,10108539.0,10261206.0,10412740.0,10563757.0,10713849.0,10863543.0,11012421.0,7.21,8.8500004,8.29,7.96,7.71,8.0799999,9.1899996,8.3999996,7.8099999,8.3299999,8.4300003,8.4899998,7.9899998,8.3999996,8.1599998,12
78,HUN,72.6487804878049,72.6487804878049,73.0975609756098,73.1512195121951,73.7024390243903,73.9048780487805,74.2073170731707,74.8585365853659,75.0634146341463,75.5658536585366,75.7634146341463,75.5682926829269,76.0634146341464,75.8170731707317,76.0658536585366,10107146.0,10087065.0,10071370.0,10055780.0,10038188.0,10022650.0,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,20.690001,21.700001,22.08,15.97,16.15,18.450001,18.76,21.83,18.15,17.559999,15.73,17.43,15.3,17.299999,15.65,2
79,IDN,65.75,67.649,67.914,68.189,68.226,68.494,68.679,68.823,68.973,69.264,69.533,69.699,69.798,69.936,70.338,225938595.0,228805144.0,231797427.0,234858289.0,237936543.0,240981299.0,244016173.0,247099697.0,250222695.0,253275918.0,256229761.0,259091970.0,261850182.0,264498852.0,267066843.0,18.700001,18.23,22.309999,18.5,17.33,19.83,17.93,19.389999,19.549999,18.91,22.889999,24.469999,18.92,16.32,18.34,6
80,IMN,76.966,77.623,78.191,78.331,78.449,78.681,78.983,79.19,79.337,79.473,80.037,78.905,80.314,80.457,80.596,78677.0,79415.0,80228.0,81100.0,81997.0,82915.0,83828.0,84350.0,84338.0,84144.0,83896.0,83593.0,83450.0,83580.0,83775.0,4.7199998,5.3000002,5.6599998,5.8499999,5.3800001,5.4499998,6.2399998,5.9099998,5.1900001,6.5,5.3899999,5.0700002,4.8000002,4.5799999,5.3600001,4
81,IND,64.524,64.996,65.412,65.788,66.149,66.513,66.909,67.359,67.887,68.46,69.074,69.636,70.117,70.467,70.71,1136264583.0,1154638713.0,1172373788.0,1189691809.0,1206734806.0,1223640160.0,1240613620.0,1257621191.0,1274487215.0,1291132063.0,1307246509.0,1322866505.0,1338636340.0,1354195680.0,1369003306.0,44.5,45.540001,47.240002,49.040001,52.400002,52.0,52.330002,55.959999,50.970001,53.220001,51.700001,51.619999,55.099998,52.889999,53.450001,1
82,IRL,78.5390243902439,78.9439024390244,79.2414634146342,79.6414634146341,80.0951219512195,80.190243902439,80.7439024390244,80.7463414634146,80.8463414634146,80.9487804878049,81.3487804878049,81.4536585365854,81.6536585365854,82.1560975609756,82.2048780487805,4070262.0,4159914.0,4273591.0,4398942.0,4489544.0,4535375.0,4560155.0,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,5.0500002,5.6900001,5.4299998,5.9499998,5.54,5.3800001,6.6300001,5.54,5.4699998,6.4099998,5.04,4.5900002,4.9400001,4.1799998,4.79,4
83,IRN,71.37,71.838,72.276,72.772,72.624,72.698,73.069,73.679,74.186,74.449,74.782,75.124,75.6,75.971,76.195,69061674.0,70182594.0,71275760.0,72319418.0,73318394.0,74322685.0,75373855.0,76342971.0,77324451.0,78458928.0,79961672.0,81790841.0,83306231.0,84505076.0,85617562.0,12.94,14.17,15.18,15.11,16.17,16.75,16.23,18.049999,17.889999,15.33,17.01,16.16,15.43,17.620001,16.5,2
84,IRQ,65.031,64.844,63.587,63.553,64.942,66.446,67.062,67.659,68.023,68.253,68.914,69.44,68.988,70.413,71.514,27858948.0,28698684.0,28905607.0,28660887.0,29218381.0,30289040.0,31264875.0,32378061.0,33864447.0,35481800.0,36746488.0,37757813.0,38697943.0,39621162.0,40590700.0,17.84,21.309999,20.65,21.1,25.02,27.67,24.98,26.860001,28.65,25.950001,24.469999,24.799999,22.780001,25.110001,26.309999,8
85,ISL,80.9975609756098,81.5024390243902,81.1585365853659,81.4536585365854,81.609756097561,81.7512195121951,81.8975609756097,82.3585365853659,82.9170731707317,82.0609756097561,82.8609756097561,82.4682926829268,82.2048780487805,82.6609756097561,82.8609756097561,292074.0,296734.0,303782.0,311566.0,317414.0,318499.0,318041.0,319014.0,320716.0,323764.0,327386.0,330815.0,335439.0,343400.0,352721.0,2.6800001,2.3900001,2.4000001,2.28,2.4100001,2.6300001,3.1500001,2.5599999,2.3800001,2.75,2.8800001,2.3499999,2.47,2.6500001,2.1300001,4
86,ISR,80.1463414634146,80.1512195121951,80.5536585365854,80.5048780487805,80.9512195121951,81.4048780487805,81.6024390243903,81.6560975609756,81.7048780487805,82.0560975609756,82.1536585365854,82.0512195121951,82.4073170731707,82.5512195121951,82.8024390243903,6809000.0,6930100.0,7053700.0,7180100.0,7308800.0,7485600.0,7623600.0,7765800.0,7910500.0,8059500.0,8215700.0,8380100.0,8546000.0,8713300.0,8882800.0,10.14,10.43,11.18,11.22,10.74,11.32,10.98,12.18,13.24,11.39,10.39,12.81,10.6,12.15,11.84,3
87,ITA,80.7804878048781,80.7829268292683,81.2829268292683,81.4341463414634,81.4853658536585,81.6365853658537,82.0365853658537,82.1878048780488,82.2390243902439,82.690243902439,83.090243902439,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,57685327.0,57969484.0,58143979.0,58438310.0,58826731.0,59095365.0,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60421760.0,15.97,17.74,18.690001,17.540001,15.28,15.33,15.15,17.860001,15.66,14.75,11.66,15.44,12.82,14.73,12.11,3
88,JAM,70.86,71.044,71.199,71.418,71.612,72.124,72.622,73.094,73.433,73.412,72.982,72.394,72.02,71.911,71.793,2664024.0,2676863.0,2689660.0,2701221.0,2711373.0,2722401.0,2733896.0,2746169.0,2759817.0,2773129.0,2784543.0,2794445.0,2802695.0,2808376.0,2811835.0,10.68,12.2,12.08,10.31,11.21,10.93,12.73,11.24,11.17,10.69,11.33,10.82,10.87,10.8,10.53,2
89,JOR,72.772,72.932,73.145,73.373,73.591,73.801,74.0,74.189,74.366,74.562,74.789,75.011,75.215,75.502,75.774,5532423.0,5678534.0,6075548.0,6473457.0,6632873.0,6780493.0,6931258.0,7109980.0,7211863.0,7694814.0,8658026.0,9494246.0,9964656.0,10215381.0,10459865.0,13.63,14.02,14.7,14.88,14.66,15.38,14.46,16.629999,18.9,15.55,14.31,17.58,16.110001,16.700001,16.700001,2
90,JPN,82.030243902439,81.9251219512195,82.3219512195122,82.5070731707317,82.5875609756098,82.9314634146342,82.8426829268293,82.5912195121951,83.0960975609756,83.3319512195122,83.5878048780488,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,127761000.0,127773000.0,127854000.0,128001000.0,128063000.0,128047000.0,128070000.0,127833000.0,127629000.0,127445000.0,127276000.0,127141000.0,127076000.0,126972000.0,126811000.0,12.2,13.1,13.67,12.82,14.04,12.38,11.03,11.3,12.18,11.39,12.39,11.77,11.14,11.06,10.94,3
91,KAZ,66.06,65.86,66.15,66.34,67.11,68.39,68.45,68.69,69.52,70.62,71.44,71.97,72.41,72.95,73.15,15012984.0,15147029.0,15308085.0,15484192.0,15776938.0,16092822.0,16321872.0,16557202.0,16792090.0,17035551.0,17288285.0,17542806.0,17794055.0,18037776.0,18276452.0,12.25,13.35,12.18,13.68,15.28,14.98,13.97,14.87,16.75,13.44,13.92,13.38,13.96,14.76,13.51,2
92,KEN,56.361,57.344,58.222,58.865,59.614,60.365,60.649,61.046,61.115,61.389,61.816,61.892,62.163,62.481,62.676,34791836.0,35843010.0,36925253.0,38036793.0,39186895.0,40364444.0,41517895.0,42635144.0,43725806.0,44792368.0,45831863.0,46851488.0,47894670.0,48948137.0,49953304.0,14.92,14.6,15.64,17.9,15.43,15.18,17.120001,17.110001,16.99,17.43,15.46,15.99,16.040001,13.96,15.89,9
93,KGZ,68.1536585365854,67.9560975609756,67.6951219512195,67.8951219512195,68.4512195121951,69.1024390243903,69.3,69.6024390243903,70.0024390243902,70.2024390243902,70.4024390243902,70.6512195121951,70.9512195121951,71.2,71.4,5104700.0,5162600.0,5218400.0,5268400.0,5318700.0,5383300.0,5447900.0,5514600.0,5607200.0,5719600.0,5835500.0,5956900.0,6079500.0,6198200.0,6322800.0,14.09,15.33,15.12,16.15,15.04,17.049999,13.91,17.24,18.790001,15.92,14.82,15.22,15.56,15.89,14.68,2
94,KHM,63.552,64.293,65.059,65.731,66.47,67.444,67.712,68.416,68.915,69.304,69.736,69.873,70.224,70.515,70.561,13016371.0,13246583.0,13477779.0,13714791.0,13943888.0,14155740.0,14363532.0,14573885.0,14786640.0,14999683.0,15210817.0,15417523.0,15624584.0,15830689.0,16025238.0,19.18,18.92,17.49,19.780001,18.889999,16.469999,17.940001,17.559999,15.2,18.950001,16.809999,15.82,15.77,15.6,17.83,2
95,KIR,64.989,64.967,64.906,64.844,64.834,64.892,65.016,65.19,65.378,65.588,65.815,66.059,66.332,66.597,66.855,96224.0,98164.0,100083.0,101998.0,103966.0,105996.0,107995.0,109871.0,111618.0,113311.0,114985.0,116707.0,118513.0,120362.0,122261.0,0.93000001,1.14,1.05,0.79000002,0.70999998,1.02,0.75,0.67000002,0.81999999,0.88999999,1.1,1.5,0.83999997,0.74000001,0.89999998,5
96,KOR,77.6658536585366,78.1682926829268,78.6682926829268,79.119512195122,79.5170731707317,79.9682926829268,80.1170731707317,80.5682926829269,80.819512195122,81.2707317073171,81.7219512195122,82.0243902439024,82.2756097560976,82.6268292682927,82.6268292682927,48082519.0,48184561.0,48438292.0,48683638.0,49054708.0,49307835.0,49554112.0,49936638.0,50199853.0,50428893.0,50746659.0,51014947.0,51217803.0,51361911.0,51585058.0,21.610001,22.309999,23.780001,23.889999,23.790001,22.860001,21.059999,21.67,21.99,23.290001,23.809999,22.93,22.450001,20.700001,20.559999,0
97,KWT,76.792,76.903,76.887,77.017,77.145,77.442,77.982,78.464,78.812,79.164,79.445,79.562,79.701,79.781,79.722,2153481.0,2235403.0,2363409.0,2506769.0,2650930.0,2795550.0,2943356.0,3143825.0,3394663.0,3646518.0,3761584.0,3908743.0,4048085.0,4124904.0,4317185.0,12.26,12.7,14.59,14.67,17.23,17.73,18.58,17.129999,19.969999,15.9,18.889999,18.99,13.11,17.559999,18.85,3
98,LAO,60.293,60.98,61.493,62.084,62.603,63.273,63.973,64.736,65.355,65.718,66.361,66.67,67.167,67.434,67.634,5768167.0,5852970.0,5946593.0,6041348.0,6135861.0,6229930.0,6323418.0,6416327.0,6508803.0,6600742.0,6691454.0,6787419.0,6891363.0,6997917.0,7105006.0,29.42,28.959999,27.4,31.16,27.629999,26.389999,30.360001,27.74,25.809999,28.23,28.790001,25.65,28.370001,25.950001,23.83,8
99,LBN,75.976,76.273,76.08,77.08,77.584,77.889,78.156,78.404,78.628,78.765,78.973,79.229,79.505,79.654,79.729,4574797.0,4643044.0,4719864.0,4809608.0,4887613.0,4951135.0,4995800.0,5045056.0,5178337.0,5678851.0,6274342.0,6398940.0,6258619.0,6109252.0,5950839.0,13.85,14.6,14.92,15.25,13.9,15.12,13.36,16.9,17.809999,16.23,15.11,16.610001,15.13,15.96,15.7,3
100,LBR,56.013,56.912,57.62,58.285,58.772,59.194,59.433,59.62,59.913,59.943,59.121,59.148,60.416,60.553,60.853,3122447.0,3266318.0,3455397.0,3632740.0,3783887.0,3905066.0,4019956.0,4181150.0,4331740.0,4427313.0,4519398.0,4612329.0,4706097.0,4796631.0,4889391.0,11.73,12.56,11.82,11.15,12.26,14.48,12.77,12.32,10.45,11.73,11.36,11.52,11.51,10.91,10.65,13
101,LBY,71.49,71.592,71.724,71.863,72.269,72.356,72.374,70.071,72.247,72.34,71.511,71.698,71.756,72.482,72.794,5687563.0,5837986.0,5973369.0,6097177.0,6228370.0,6360191.0,6491988.0,6188132.0,5869870.0,5985221.0,6097764.0,6192235.0,6282196.0,6378261.0,6477793.0,6.4899998,7.4000001,7.6599998,7.1700001,6.79,7.0300002,5.9099998,7.7399998,7.46,7.4400001,5.6300001,7.7199998,6.1599998,7.0999999,6.1799998,7
102,LCA,72.028,72.245,72.465,72.599,72.698,72.722,72.72,72.944,72.882,72.735,72.864,73.138,73.112,73.127,73.357,164239.0,165386.0,166470.0,167518.0,168576.0,169688.0,170935.0,172145.0,173124.0,173978.0,174804.0,175623.0,176413.0,177163.0,177888.0,1.97,2.3599999,2.0799999,2.0,2.0699999,2.25,2.8800001,2.1500001,2.1500001,1.83,1.65,1.86,2.1300001,2.1500001,1.76,7
103,LIE,81.7707317073171,80.6682926829268,80.9487804878049,81.2951219512195,82.6829268292683,81.5,81.8414634146342,81.7926829268293,82.3829268292683,82.2609756097561,82.0731707317073,82.6560975609756,82.2585365853659,83.7463414634147,83.0414634146342,34300.0,34603.0,34889.0,35150.0,35401.0,35675.0,35926.0,36189.0,36505.0,36806.0,37096.0,37355.0,37609.0,37889.0,38181.0,12.86,14.72,14.15,12.1,11.61,13.01,13.66,12.99,11.06,12.3,9.29,10.64,9.75,9.8900003,9.9200001,3
104,LKA,67.091,72.118,71.969,72.049,71.729,69.187,73.215,73.38,73.906,74.239,74.651,74.927,75.331,75.403,75.748,19387153.0,19544988.0,19695977.0,19842044.0,19983984.0,20123508.0,20261738.0,20398496.0,20425000.0,20585000.0,20778000.0,20970000.0,21203000.0,21444000.0,21670000.0,17.299999,19.459999,18.629999,19.49,19.76,20.26,21.370001,22.370001,20.790001,21.85,20.77,20.219999,19.370001,18.92,20.139999,0
105,LSO,43.711,43.233,42.914,43.123,43.566,44.034,45.596,46.692,47.835,49.002,50.033,51.101,52.264,53.064,53.733,1985384.0,1977424.0,1976780.0,1983465.0,1995014.0,2009169.0,2022747.0,2037677.0,2054718.0,2073939.0,2095242.0,2118521.0,2143872.0,2170617.0,2198017.0,23.59,25.73,26.860001,23.459999,24.530001,24.950001,27.25,24.940001,22.98,22.43,22.219999,22.459999,21.9,24.41,22.790001,11
106,LTU,71.9609756097561,71.2536585365854,71.0560975609756,70.9,71.8121951219512,72.9146341463415,73.2682926829268,73.5634146341464,73.8634146341464,73.9146341463415,74.5170731707317,74.3219512195122,74.6707317073171,75.4804878048781,75.6804878048781,3377075.0,3322528.0,3269909.0,3231294.0,3198231.0,3162916.0,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2801543.0,13.54,13.3,14.59,13.89,15.71,15.33,17.25,14.21,14.26,14.02,14.28,12.47,10.96,11.16,12.88,2
107,LUX,79.1219512195122,79.4317073170732,79.2878048780488,79.3829268292683,80.5390243902439,80.6365853658537,80.6317073170732,80.9878048780488,81.3926829268293,81.8,82.2292682926829,82.2926829268293,82.6853658536585,82.0951219512195,82.2951219512195,458095.0,465158.0,472637.0,479993.0,488650.0,497783.0,506953.0,518347.0,530946.0,543360.0,556319.0,569604.0,582014.0,596336.0,607950.0,12.92,12.48,12.51,12.06,12.73,13.98,14.14,13.49,11.81,13.35,10.55,10.65,10.11,9.6199999,9.6499996,3
108,LVA,72.0268292682927,71.3560975609756,70.8658536585366,71.019512195122,72.419512195122,73.0804878048781,73.4829268292683,73.5756097560976,73.7780487804878,73.9829268292683,74.1243902439024,74.4804878048781,74.580487804878,74.6292682926829,74.7829268292683,2263122.0,2238799.0,2218357.0,2200325.0,2177322.0,2141669.0,2097555.0,2059709.0,2034319.0,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,1927174.0,14.66,15.34,16.82,17.309999,16.58,16.4,17.469999,13.89,14.94,14.49,15.34,13.0,11.95,11.75,14.3,2
109,MAF,77.384,77.555,77.726,77.892,78.068,78.236,78.406,78.827,79.022,78.908,79.966,79.309,79.475,78.59,80.614,32697.0,33452.0,34183.0,34887.0,35541.0,36132.0,36458.0,36350.0,36026.0,35639.0,35261.0,35020.0,34811.0,34496.0,33852.0,1.89,2.6700001,2.3800001,2.0899999,1.88,1.97,3.0799999,1.98,2.47,1.6900001,1.76,1.97,2.1600001,1.97,1.67,4
110,MAR,68.231,68.704,69.128,69.604,70.048,70.458,70.829,71.269,71.679,72.122,72.538,72.92,73.284,73.66,73.986,30033125.0,30431902.0,30833022.0,31232633.0,31634992.0,32042877.0,32464865.0,32903699.0,33352169.0,33803527.0,34248603.0,34680458.0,35107264.0,35528115.0,35927511.0,7.25,8.54,8.4499998,8.6400003,7.3899999,6.9000001,6.8699999,7.3099999,7.2600002,8.1099997,6.6500001,8.4499998,7.29,6.73,7.73,7
