,country,2004_life_exp,2005_life_exp,2006_life_exp,2007_life_exp,2008_life_exp,2009_life_exp,2010_life_exp,2011_life_exp,2012_life_exp,2013_life_exp,2014_life_exp,2015_life_exp,2016_life_exp,2017_life_exp,2018_life_exp,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2004_pm,2005_pm,2006_pm,2007_pm,2008_pm,2009_pm,2010_pm,2011_pm,2012_pm,2013_pm,2014_pm,2015_pm,2016_pm,2017_pm,2018_pm,class
10,AZE,67.346,67.562,68.165,68.603,68.811,69.356,69.529,69.984,70.36,70.881,71.116,71.451,72.004,72.248,72.76,8306500.0,8391850.0,8484550.0,8581300.0,8763400.0,8947243.0,9054332.0,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,11.22,12.7,12.42,12.63,11.78,12.05,12.24,12.27,13.04,11.37,11.81,11.52,11.87,12.82,10.58,2
11,BDI,52.01,53.023,53.869,54.727,55.71,56.388,57.081,57.769,58.493,59.235,59.868,60.217,60.793,61.553,61.688,7120496.0,7388874.0,7658190.0,7944609.0,8278109.0,8709366.0,9126605.0,9455733.0,9795479.0,10149577.0,10494913.0,10727148.0,10903327.0,11155593.0,11493472.0,33.889999,33.849998,28.709999,37.720001,35.490002,33.07,34.93,35.82,35.509998,36.869999,32.549999,34.849998,33.330002,27.9,28.33,8
12,BEL,78.8780487804878,78.9804878048781,79.380487804878,79.7829268292683,79.6804878048781,80.0341463414634,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,12.85,12.44,13.31,15.03,14.44,15.62,15.63,14.82,13.04,14.03,11.23,10.75,10.71,10.23,10.78,3
13,BEN,56.826,57.125,57.456,57.675,57.869,57.956,58.363,58.462,58.716,58.965,59.125,59.377,59.539,59.856,60.14,7894554.0,8149419.0,8402631.0,8647761.0,8906469.0,9172514.0,9445710.0,9726380.0,10014078.0,10308730.0,10614844.0,10932783.0,11260085.0,11596779.0,11940683.0,18.75,19.15,17.27,18.200001,18.889999,17.99,17.940001,17.25,16.09,15.15,15.25,15.66,17.09,17.23,16.719999,9
14,BFA,52.416,53.092,53.742,54.375,55.342,55.959,56.477,57.125,57.619,57.823,58.359,58.845,59.326,59.536,60.047,13445977.0,13876127.0,14316242.0,14757074.0,15197915.0,15650022.0,16116845.0,16602651.0,17113732.0,17636408.0,18169842.0,18718019.0,19275498.0,19835858.0,20392723.0,8.5299997,9.0500002,8.3299999,8.6800003,8.2600002,9.2299995,9.9899998,9.1000004,8.5,8.1099997,9.0,8.4300003,8.0900002,8.4300003,8.5699997,13
15,BGD,67.187,67.299,67.241,66.714,67.051,67.403,68.638,68.809,69.554,69.565,69.986,70.491,71.09,71.788,72.567,138789725.0,140912590.0,142628831.0,144135934.0,145421318.0,146706810.0,148391139.0,150211005.0,152090649.0,154030139.0,155961299.0,157830000.0,159784568.0,161793964.0,163683958.0,54.880001,59.919998,64.379997,62.43,65.120003,71.040001,66.330002,70.580002,71.57,65.580002,68.410004,65.410004,68.629997,62.970001,77.120003,10
16,BGR,72.5634146341463,72.5609756097561,72.6121951219512,72.6634146341463,72.9634146341463,73.4121951219512,73.5121951219512,74.1634146341463,74.3146341463415,74.8609756097561,74.4658536585366,74.6146341463415,74.8121951219512,74.8146341463415,74.9634146341464,7716860.0,7658972.0,7601022.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,22.59,24.6,26.84,24.15,22.26,20.379999,18.23,27.809999,22.58,19.950001,19.34,18.65,17.780001,19.18,18.280001,0
17,BHR,76.56,76.931,77.156,77.634,78.084,78.461,78.748,78.89,79.081,79.246,79.328,79.405,79.557,79.689,79.857,833451.0,901921.0,970981.0,1040532.0,1110343.0,1179453.0,1213645.0,1212077.0,1224939.0,1261673.0,1311134.0,1362142.0,1409661.0,1456834.0,1487340.0,13.33,14.39,16.75,16.450001,18.049999,20.26,21.43,19.040001,21.059999,18.52,18.99,19.530001,18.51,21.610001,20.219999,3
18,BHS,72.478,72.765,72.855,72.678,72.667,72.579,72.731,72.564,72.753,73.024,73.366,73.104,73.537,73.632,73.806,343089.0,347804.0,352664.0,357666.0,362795.0,368057.0,373272.0,377950.0,382061.0,385650.0,389131.0,392697.0,395976.0,399020.0,401906.0,4.0100002,4.4899998,4.4200001,3.8800001,3.04,3.1400001,3.8099999,3.6099999,3.21,2.6700001,2.8399999,2.51,3.03,3.22,3.04,7
19,BIH,76.133,75.42,76.247,76.161,76.838,76.976,77.073,77.007,77.191,76.33,75.659,76.182,76.808,76.935,77.093,4142860.0,4094297.0,4058086.0,4007876.0,3943392.0,3877750.0,3811088.0,3743142.0,3674374.0,3617559.0,3571068.0,3524324.0,3480986.0,3440027.0,3400129.0,27.82,30.049999,29.4,27.059999,25.98,26.790001,27.52,32.099998,28.879999,25.440001,24.24,28.57,27.83,26.67,25.65,0
20,BLR,68.9560975609756,68.8512195121951,69.4048780487805,70.2073170731707,70.4560975609756,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976,9730146.0,9663915.0,9604924.0,9560953.0,9527985.0,9504583.0,9483836.0,9461643.0,9446836.0,9443211.0,9448515.0,9461076.0,9469379.0,9458989.0,9438785.0,15.87,15.47,15.98,14.36,14.93,16.51,17.4,15.2,14.86,15.55,15.28,13.28,12.69,12.91,13.71,2
