country,year,life_exp,population,pm
BDI,1999,47.528,6180180.0,19.92
BDI,2000,47.514,6307659.0,30.450001
BDI,2001,48.431,6465729.0,36.619999
BDI,2002,49.891,6648938.0,31.67
BDI,2003,50.857,6860846.0,28.469999
BDI,2004,52.01,7120496.0,33.889999
BDI,2005,53.023,7388874.0,33.849998
BDI,2006,53.869,7658190.0,28.709999
BDI,2007,54.727,7944609.0,37.720001
BDI,2008,55.71,8278109.0,35.490002
BDI,2009,56.388,8709366.0,33.07
BDI,2010,57.081,9126605.0,34.93
BDI,2011,57.769,9455733.0,35.82
BDI,2012,58.493,9795479.0,35.509998
BDI,2013,59.235,10149577.0,36.869999
BDI,2014,59.868,10494913.0,32.549999
BDI,2015,60.217,10727148.0,34.849998
BDI,2016,60.793,10903327.0,33.330002
BDI,2017,61.553,11155593.0,27.9
BDI,2018,61.688,11493472.0,28.33
BEL,1998,77.4731707317073,10203008.0,14.99
BEL,1999,77.619512195122,10226419.0,14.0
BEL,2000,77.7219512195122,10251250.0,12.65
BEL,2001,77.9731707317073,10286570.0,12.51
BEL,2002,78.0756097560976,10332785.0,12.58
BEL,2003,78.1292682926829,10376133.0,14.62
BEL,2004,78.8780487804878,10421137.0,12.85
BEL,2005,78.9804878048781,10478617.0,12.44
BEL,2006,79.380487804878,10547958.0,13.31
BEL,2007,79.7829268292683,10625700.0,15.03
BEL,2008,79.6804878048781,10709973.0,14.44
BEL,2009,80.0341463414634,10796493.0,15.62
BEL,2010,80.1829268292683,10895586.0,15.63
BEL,2011,80.5853658536585,11038264.0,14.82
BEL,2012,80.3853658536585,11106932.0,13.04
BEL,2013,80.5878048780488,11159407.0,14.03
BEL,2014,81.2878048780488,11209057.0,11.23
BEL,2015,80.9926829268293,11274196.0,10.75
BEL,2016,81.4390243902439,11331422.0,10.71
BEL,2017,81.4926829268293,11375158.0,10.23
BEL,2018,81.5951219512195,11427054.0,10.78
BEN,1998,56.218,6584183.0,15.09
BEN,1999,56.526,6788589.0,14.63
BEN,2000,56.578,6998023.0,16.24
BEN,2001,56.66,7212041.0,16.860001
BEN,2002,56.606,7431783.0,16.48
BEN,2003,56.738,7659208.0,17.719999
BEN,2004,56.826,7894554.0,18.75
BEN,2005,57.125,8149419.0,19.15
BEN,2006,57.456,8402631.0,17.27
BEN,2007,57.675,8647761.0,18.200001
BEN,2008,57.869,8906469.0,18.889999
BEN,2009,57.956,9172514.0,17.99
BEN,2010,58.363,9445710.0,17.940001
BEN,2011,58.462,9726380.0,17.25
BEN,2012,58.716,10014078.0,16.09
BEN,2013,58.965,10308730.0,15.15
BEN,2014,59.125,10614844.0,15.25
BEN,2015,59.377,10932783.0,15.66
BEN,2016,59.539,11260085.0,17.09
BEN,2017,59.856,11596779.0,17.23
BEN,2018,60.14,11940683.0,16.719999
BFA,1998,49.991,11201063.0,7.2800002
BFA,1999,50.325,11533554.0,7.25
BFA,2000,50.847,11882888.0,7.4699998
BFA,2001,51.071,12249764.0,7.0900002
BFA,2002,51.272,12632269.0,7.1399999
BFA,2003,51.793,13030591.0,8.1199999
BFA,2004,52.416,13445977.0,8.5299997
BFA,2005,53.092,13876127.0,9.0500002
BFA,2006,53.742,14316242.0,8.3299999
BFA,2007,54.375,14757074.0,8.6800003
BFA,2008,55.342,15197915.0,8.2600002
BFA,2009,55.959,15650022.0,9.2299995
BFA,2010,56.477,16116845.0,9.9899998
BFA,2011,57.125,16602651.0,9.1000004
BFA,2012,57.619,17113732.0,8.5
BFA,2013,57.823,17636408.0,8.1099997
BFA,2014,58.359,18169842.0,9.0
BFA,2015,58.845,18718019.0,8.4300003
BFA,2016,59.326,19275498.0,8.0900002
BFA,2017,59.536,19835858.0,8.4300003
BFA,2018,60.047,20392723.0,8.5699997
BGD,1998,63.917,124350471.0,45.93
BGD,1999,66.228,126754824.0,46.560001
BGD,2000,65.779,129193327.0,52.139999
BGD,2001,66.135,131670484.0,54.529999
BGD,2002,66.612,134139826.0,53.82
BGD,2003,66.824,136503206.0,55.59
BGD,2004,67.187,138789725.0,54.880001
BGD,2005,67.299,140912590.0,59.919998
BGD,2006,67.241,142628831.0,64.379997
BGD,2007,66.714,144135934.0,62.43
BGD,2008,67.051,145421318.0,65.120003
BGD,2009,67.403,146706810.0,71.040001
BGD,2010,68.638,148391139.0,66.330002
BGD,2011,68.809,150211005.0,70.580002
BGD,2012,69.554,152090649.0,71.57
BGD,2013,69.565,154030139.0,65.580002
BGD,2014,69.986,155961299.0,68.410004
BGD,2015,70.491,157830000.0,65.410004
BGD,2016,71.09,159784568.0,68.629997
BGD,2017,71.788,161793964.0,62.970001
BGD,2018,72.567,163683958.0,77.120003
BGR,1998,71.0609756097561,8256786.0,25.4
BGR,1999,71.4121951219512,8210624.0,22.700001
BGR,2000,71.6634146341463,8170172.0,24.15
BGR,2001,71.7682926829268,8009142.0,24.719999
BGR,2002,71.8658536585366,7837161.0,24.879999
BGR,2003,72.0658536585366,7775327.0,26.139999
BGR,2004,72.5634146341463,7716860.0,22.59
BGR,2005,72.5609756097561,7658972.0,24.6
BGR,2006,72.6121951219512,7601022.0,26.84
