country,life_exp_1999,life_exp_2000,life_exp_2001,life_exp_2002,life_exp_2003,life_exp_2004,life_exp_2005,life_exp_2006,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,min_1999,min_2000,min_2001,min_2002,min_2003,min_2004,min_2005,min_2006,max_1999,max_2000,max_2001,max_2002,max_2003,max_2004,max_2005,max_2006,avg_1999,avg_2000,avg_2001,avg_2002,avg_2003,avg_2004,avg_2005,avg_2006
FJI,66.763,66.31,66.34,65.748,66.177,66.424,66.632,66.855,823422.0,832509.0,841320.0,849891.0,858306.0,866694.0,874923.0,883083.0,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.7,2.1,1.8,1.8,2.0,2.2,2.0,1.9,1.8,1.97,1.77,1.73,1.9,1.97,1.87,1.83,1.77
FRA,78.7560975609756,79.0560975609756,79.1585365853659,79.2609756097561,79.1146341463415,80.1634146341463,80.1634146341463,80.8121951219512,60504420.0,60921384.0,61367388.0,61816234.0,62256970.0,62716306.0,63188395.0,63628261.0,10.0,9.5,10.2,8.3,9.0,8.0,7.6,7.8,26.6,22.2,20.8,19.0,23.4,19.6,18.2,21.0,16.06,13.73,13.91,12.32,14.41,11.42,11.37,12.68
GAB,60.849,61.069,61.27,61.292,61.671,61.838,61.959,62.375,1240764.0,1272935.0,1306590.0,1341696.0,1378398.0,1417110.0,1458353.0,1502534.0,9.3,12.2,13.1,13.4,14.5,13.4,11.9,11.2,47.0,47.8,31.2,29.2,32.8,35.1,28.0,24.6,25.47,29.92,22.11,22.53,24.41,23.96,20.41,17.88
GBR,77.390243902439,77.7414634146342,77.9926829268293,78.1439024390244,78.4463414634146,78.7463414634146,79.0487804878049,79.2487804878049,58682466.0,58892514.0,59119673.0,59370479.0,59647577.0,59987905.0,60401206.0,60846820.0,4.7,3.9,4.3,5.0,6.3,4.1,4.1,4.7,21.4,21.7,16.2,16.7,22.4,16.4,16.7,16.4,13.32,12.79,10.4,11.24,15.31,9.93,10.29,9.97
GEO,69.319,69.575,69.606,70.024,70.333,70.567,71.13,71.394,4157192.0,4077131.0,4014373.0,3978515.0,3951736.0,3927340.0,3902469.0,3880347.0,9.1,9.4,9.2,8.8,8.4,8.2,9.0,8.8,23.6,22.4,22.0,21.3,21.9,22.0,21.6,22.2,12.55,12.01,11.91,11.03,11.15,11.12,11.41,11.63
GHA,58.03,58.195,58.107,58.608,59.111,59.191,59.76,59.988,19176791.0,19665502.0,20195577.0,20758326.0,21329514.0,21906444.0,22496951.0,23098586.0,46.6,63.8,37.9,52.7,43.8,65.4,53.9,48.3,70.9,91.9,71.5,71.6,61.5,86.1,73.4,64.7,57.75,80.57,53.61,61.8,52.99,75.63,62.55,55.57
GIN,52.356,52.479,52.662,53.278,53.678,54.117,54.632,55.108,8174897.0,8336967.0,8445717.0,8577790.0,8772254.0,8961039.0,9140114.0,9330625.0,40.1,41.5,34.0,35.3,32.5,42.2,35.3,30.4,53.9,58.7,44.7,48.4,49.1,61.9,49.7,45.9,46.3,49.17,38.01,40.48,39.69,49.97,43.6,39.27
GMB,56.816,56.942,57.043,57.08,57.586,58.088,58.394,59.06,1396499.0,1437539.0,1479449.0,1522223.0,1566257.0,1612225.0,1660368.0,1711294.0,46.9,50.5,40.7,48.7,46.7,47.1,44.8,43.0,51.9,56.0,44.2,52.3,54.2,51.3,46.0,44.5,49.17,53.5,42.17,50.4,49.83,49.27,45.33,43.6
GNB,48.006,50.121,50.445,50.986,51.405,52.15,52.249,53.371,1206474.0,1230849.0,1257380.0,1285678.0,1315653.0,1347009.0,1379713.0,1414091.0,40.9,45.5,36.8,40.1,39.2,44.2,39.8,36.3,47.8,50.1,40.1,44.8,46.0,49.2,45.2,41.5,44.87,48.31,38.04,42.54,42.22,46.12,41.81,38.46
GNQ,52.752,53.226,53.636,54.085,54.581,55.036,55.464,56.046,655029.0,684977.0,719270.0,754115.0,789681.0,826355.0,864726.0,905418.0,18.3,23.6,19.0,20.2,20.2,18.0,18.6,14.2,32.9,37.0,24.4,23.2,25.8,25.2,22.3,17.1,25.09,29.9,21.75,21.54,23.02,21.76,20.04,15.48
GRC,77.9878048780488,77.8878048780488,78.3878048780488,78.6414634146341,78.8414634146341,79.0390243902439,79.2390243902439,79.4390243902439,10761698.0,10805808.0,10862132.0,10902022.0,10928070.0,10955141.0,10987314.0,11020362.0,12.4,13.0,12.3,13.2,13.0,11.4,11.3,11.0,26.7,26.6,19.5,20.7,18.2,17.1,17.0,16.2,18.03,17.58,15.08,16.14,14.95,13.55,13.8,13.31
GRL,66.3590243902439,66.2224390243903,66.7092682926829,67.1963414634146,68.1148780487805,68.5926829268293,68.4273170731707,68.6665853658537,56100.0,56200.0,56350.0,56609.0,56765.0,56911.0,56935.0,56774.0,1.5,1.4,1.3,1.5,1.6,1.5,1.4,1.3,2.1,2.1,2.1,2.5,2.4,2.2,2.2,1.9,1.76,1.68,1.64,1.78,1.86,1.75,1.64,1.55
GTM,66.869,67.446,67.946,68.386,68.797,69.165,69.168,69.812,11311078.0,11589761.0,11871565.0,12147518.0,12415334.0,12682108.0,12948292.0,13213330.0,11.3,14.7,11.4,11.1,12.5,8.0,11.6,10.1,25.4,69.5,20.6,18.5,23.5,15.7,18.2,17.9,15.95,26.4,15.21,14.4,18.02,10.17,14.83,13.45
GUY,64.17,64.483,64.788,64.728,64.6,64.93,65.132,65.667,758014.0,759051.0,759809.0,760323.0,760562.0,760424.0,759709.0,758367.0,7.4,7.3,9.2,9.0,6.4,5.1,5.1,5.3,26.3,27.4,14.7,12.3,13.2,11.6,12.5,14.8,12.63,12.54,12.7,10.77,9.39,7.94,7.97,8.47
HND,68.422,68.662,69.006,69.366,69.507,69.796,70.104,70.261,6477365.0,6656725.0,6837861.0,7019908.0,7201881.0,7383407.0,7564613.0,7745200.0,7.4,8.7,8.3,7.5,8.8,6.3,9.4,6.4,17.2,18.9,14.7,15.1,16.9,11.2,16.0,14.7,11.67,13.7,11.86,11.34,12.79,7.97,12.57,9.12
