country,life_exp_1999,life_exp_2000,life_exp_2001,life_exp_2002,life_exp_2003,life_exp_2004,life_exp_2005,life_exp_2006,population_1999,population_2000,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,min_1999,min_2000,min_2001,min_2002,min_2003,min_2004,min_2005,min_2006,max_1999,max_2000,max_2001,max_2002,max_2003,max_2004,max_2005,max_2006,avg_1999,avg_2000,avg_2001,avg_2002,avg_2003,avg_2004,avg_2005,avg_2006
TGO,54.538,54.742,54.86,55.311,55.639,55.569,55.962,56.222,4867941.0,5008035.0,5145426.0,5281538.0,5421001.0,5565218.0,5711597.0,5874240.0,52.8,70.3,56.1,58.9,47.7,64.5,55.8,53.4,63.5,90.1,70.3,72.2,63.4,85.8,79.6,70.1,59.35,84.52,64.24,64.57,55.95,73.96,64.74,62.33
THA,72.542,72.316,72.613,72.93,73.155,73.08,73.82,74.938,62442651.0,63066603.0,63649892.0,64222580.0,64776956.0,65311166.0,65821360.0,66319525.0,7.6,9.0,8.5,9.4,10.0,13.1,11.3,12.0,27.5,28.9,27.2,31.2,25.9,30.9,27.5,26.6,17.02,17.81,18.45,20.42,16.89,21.92,20.36,18.86
TJK,62.621,63.26,64.057,64.846,65.552,66.028,66.514,67.013,6189565.0,6272998.0,6408810.0,6541755.0,6672492.0,6801204.0,6929145.0,7057417.0,14.1,16.1,10.1,10.6,13.6,16.0,13.5,18.9,58.4,65.0,57.1,46.6,43.3,42.1,33.6,44.6,31.09,35.65,28.19,27.09,25.29,27.42,22.79,29.82
TKM,64.518,65.026,65.156,65.385,65.746,66.075,66.068,66.499,4501079.0,4569132.0,4635094.0,4698968.0,4758988.0,4819792.0,4885775.0,4954029.0,30.1,31.0,29.0,24.5,21.4,18.0,18.3,19.2,76.6,70.4,66.3,45.2,37.1,38.7,34.4,45.3,45.13,46.69,44.61,35.8,28.44,26.7,23.62,31.37
TLS,45.701,58.568,59.362,60.148,60.871,61.628,62.328,63.073,866649.0,878360.0,893001.0,909639.0,926721.0,945989.0,969313.0,994564.0,8.2,6.3,8.8,8.5,6.9,7.6,5.8,7.0,10.2,7.9,10.1,10.0,7.7,9.5,7.0,8.4,8.92,7.06,9.18,9.22,7.26,8.68,6.42,7.78
TTO,68.377,69.102,69.646,70.488,69.729,71.076,71.308,71.256,1327063.0,1332203.0,1338567.0,1345964.0,1353548.0,1361172.0,1369075.0,1376919.0,5.5,6.1,5.9,5.7,4.5,3.7,3.8,3.7,5.5,6.1,5.9,5.7,4.5,3.7,3.8,3.7,5.5,6.1,5.9,5.7,4.5,3.7,3.8,3.7
TUN,73.508,73.69,73.816,74.059,74.305,74.49,74.764,74.921,9788067.0,9893316.0,9995123.0,10094561.0,10193798.0,10292225.0,10388344.0,10483558.0,15.8,14.3,14.0,15.5,14.4,13.7,11.9,11.0,42.3,42.8,42.8,40.3,41.0,41.2,44.1,34.5,22.94,21.9,22.32,23.11,20.05,20.07,20.39,17.55
TUR,70.695,71.861,72.231,72.579,72.89,73.24,73.534,73.845,63185615.0,64113547.0,65072018.0,65988663.0,66867327.0,67785075.0,68704715.0,69601333.0,10.9,10.7,10.7,10.2,8.9,10.0,10.1,10.0,20.8,24.4,22.3,23.7,21.7,21.4,21.3,22.5,14.35,13.98,14.74,15.83,13.55,13.31,12.94,13.82
TZA,51.748,52.362,53.161,53.863,54.895,55.596,56.299,56.911,33499772.0,34463704.0,35414469.0,36353531.0,37333918.0,38360879.0,39439505.0,40562052.0,4.4,4.9,6.0,6.5,5.2,4.6,5.1,4.4,18.4,22.1,27.6,28.1,20.0,25.2,20.8,19.3,7.69,9.1,12.92,10.68,9.93,9.71,9.94,8.49
UGA,47.786,48.342,49.006,49.648,50.368,51.547,52.976,54.369,23279247.0,24020697.0,24763325.0,25545090.0,26354736.0,27146084.0,27946588.0,28773227.0,10.8,12.2,12.1,10.8,9.6,8.4,8.1,8.6,26.7,29.7,30.5,33.0,26.6,33.7,27.2,23.7,17.05,20.29,19.34,18.56,16.48,17.2,15.68,15.69
UKR,67.9809756097561,67.6756097560976,67.8370731707317,68.2756097560976,68.2107317073171,68.1853658536585,67.9568292682927,68.0775609756098,49674000.0,49176500.0,48662400.0,48202470.0,47812949.0,47451626.0,47105171.0,46787786.0,12.9,13.0,11.8,11.8,12.1,11.7,13.7,13.2,28.3,24.1,23.9,25.7,22.9,20.0,24.6,24.9,18.4,17.15,16.78,18.0,14.94,14.12,16.54,17.32
URY,74.769,75.025,75.285,75.54,75.785,76.007,76.194,76.362,3278963.0,3292224.0,3300939.0,3306441.0,3310202.0,3313801.0,3317665.0,3322282.0,3.8,4.1,3.4,3.6,3.3,3.0,3.0,3.7,6.9,6.9,6.6,5.7,6.2,4.9,4.9,6.1,5.49,5.16,4.97,4.59,4.42,3.5,3.65,4.5
USA,76.5829268292683,76.6365853658537,76.8365853658537,76.9365853658537,77.0365853658537,77.4878048780488,77.4878048780488,77.6878048780488,279040000.0,282162411.0,284968955.0,287625193.0,290107933.0,292805298.0,295516599.0,298379912.0,1.8,1.3,1.3,2.1,2.2,2.4,2.4,1.8,33.1,47.6,15.2,18.5,16.1,56.8,28.8,14.9,7.61,7.88,7.38,8.02,6.84,8.66,8.3,6.36
UZB,65.383,65.724,66.087,66.604,67.04,67.401,67.49,67.891,24311650.0,24650400.0,24964450.0,25271850.0,25567650.0,25864350.0,26167000.0,26488250.0,22.6,24.0,26.7,18.1,14.4,15.6,16.0,15.2,78.7,68.9,64.4,46.9,44.4,46.3,38.7,52.0,37.19,39.78,37.18,30.27,26.78,25.76,24.04,29.41
VEN,72.254,72.478,71.201,72.662,71.94,72.514,72.782,72.742,23966960.0,24427729.0,24880203.0,25330929.0,25782029.0,26226927.0,26668785.0,27102081.0,5.5,5.4,6.4,5.3,4.6,3.5,3.7,3.7,29.4,28.2,25.1,23.0,26.4,23.5,23.9,22.2,12.29,11.48,13.64,11.84,11.99,9.03,9.62,9.01
VNM,72.317,72.462,72.647,72.801,72.98,73.135,73.271,73.319,78123713.0,79001142.0,79817777.0,80642308.0,81475825.0,82311227.0,83142095.0,83951800.0,7.8,9.7,7.8,9.0,9.4,11.6,11.2,11.1,50.7,44.6,43.6,43.3,36.6,45.1,45.0,47.2,21.0,21.79,20.75,21.18,18.52,22.97,22.37,22.54
VUT,68.237,68.966,69.037,69.196,69.276,69.313,69.39,69.462,187432.0,192074.0,197034.0,202125.0,207258.0,212422.0,217632.0,222923.0,3.7,3.7,3.5,3.1,3.4,3.0,2.9,3.1,3.9,3.8,3.7,3.3,3.5,3.3,3.0,3.3,3.8,3.75,3.6,3.2,3.45,3.15,2.95,3.2
WSM,70.456,70.746,71.019,71.276,71.496,71.696,71.754,72.021,182211.0,184008.0,185530.0,186630.0,187440.0,188073.0,188626.0,189379.0,1.7,1.7,1.7,1.8,1.8,1.8,2.0,1.8,1.7,1.7,1.7,1.8,1.8,1.8,2.0,1.8,1.7,1.7,1.7,1.8,1.8,1.8,2.0,1.8
YEM,61.975,62.588,63.222,63.906,64.541,65.006,65.543,65.988,18114552.0,18628700.0,19143457.0,19660653.0,20188799.0,20733406.0,21320671.0,21966298.0,22.7,27.8,21.4,20.9,21.5,21.3,20.4,20.7,35.5,50.5,42.1,47.3,58.8,52.5,48.3,51.4,27.58,35.48,31.11,34.43,38.58,35.84,35.42,36.63
ZAF,59.241,58.47,57.261,55.666,54.331,54.043,53.98,54.278,46364681.0,46813266.0,47229714.0,47661514.0,48104048.0,48556071.0,49017147.0,49491756.0,3.9,3.1,2.9,2.7,3.0,2.6,2.3,2.6,23.2,23.4,16.0,15.1,14.7,15.0,15.1,17.6,8.31,8.02,7.63,7.31,6.77,6.57,6.69,7.18
ZMB,44.659,45.231,46.019,46.979,48.284,49.487,50.659,51.795,9621238.0,9891136.0,10191964.0,10508294.0,10837973.0,11188040.0,11564870.0,11971567.0,6.7,8.4,12.7,10.1,8.6,8.1,9.7,8.3,16.6,21.1,20.5,17.1,17.9,16.2,18.3,16.0,10.66,12.6,16.35,13.19,12.43,11.56,12.93,11.15
ZWE,45.206,44.686,41.957,44.565,43.393,44.502,44.768,45.364,11716454.0,11834676.0,11910978.0,11984644.0,12075828.0,12160881.0,12224753.0,12330490.0,4.7,7.3,10.1,7.3,6.9,6.2,7.2,6.6,11.1,13.3,16.6,13.9,12.0,10.7,13.2,11.8,7.29,9.09,13.35,9.86,8.72,7.64,8.97,8.15
